DATE,CANCPIALLQINMEI_NBD20100101
1961-01-01,13.60092
1961-04-01,13.60092
1961-07-01,13.60092
1961-10-01,13.60092
1962-01-01,13.60092
1962-04-01,13.71643
1962-07-01,13.80306
1962-10-01,13.86081
1963-01-01,13.86081
1963-04-01,13.86081
1963-07-01,14.06295
1963-10-01,14.09183
1964-01-01,14.12070
1964-04-01,14.20733
1964-07-01,14.29396
1964-10-01,14.32284
1965-01-01,14.38059
1965-04-01,14.52498
1965-07-01,14.64049
1965-10-01,14.72712
1966-01-01,14.90038
1966-04-01,15.10251
1966-07-01,15.21802
1966-10-01,15.27577
1967-01-01,15.36240
1967-04-01,15.59342
1967-07-01,15.82443
1967-10-01,15.88218
1968-01-01,16.05544
1968-04-01,16.14207
1968-07-01,16.43084
1968-10-01,16.57522
1969-01-01,16.66185
1969-04-01,17.00837
1969-07-01,17.21051
1969-10-01,17.29714
1970-01-01,17.49928
1970-04-01,17.58591
1970-07-01,17.73029
1970-10-01,17.64366
1971-01-01,17.73029
1971-04-01,17.96131
1971-07-01,18.27895
1971-10-01,18.39446
1972-01-01,18.62547
1972-04-01,18.79873
1972-07-01,19.20300
1972-10-01,19.34739
1973-01-01,19.69391
1973-04-01,20.12706
1973-07-01,20.73347
1973-10-01,21.10887
1974-01-01,21.59977
1974-04-01,22.35056
1974-07-01,23.01473
1974-10-01,23.67889
1975-01-01,24.11204
1975-04-01,24.68958
1975-07-01,25.49812
1975-10-01,26.01790
1976-01-01,26.39330
1976-04-01,26.76870
1976-07-01,27.17297
1976-10-01,27.54837
1977-01-01,28.12590
1977-04-01,28.84782
1977-07-01,29.45423
1977-10-01,30.06064
1978-01-01,30.66705
1978-04-01,31.38897
1978-07-01,32.16864
1978-10-01,32.71730
1979-01-01,33.41034
1979-04-01,34.33439
1979-07-01,34.99856
1979-10-01,35.80710
1980-01-01,36.58677
1980-04-01,37.59746
1980-07-01,38.66590
1980-10-01,39.73433
1981-01-01,41.09154
1981-04-01,42.30436
1981-07-01,43.57494
1981-10-01,44.64337
1982-01-01,45.76956
1982-04-01,47.18452
1982-07-01,48.19521
1982-10-01,48.94600
1983-01-01,49.29252
1983-04-01,49.95668
1983-07-01,50.76523
1983-10-01,51.22726
1984-01-01,51.83367
1984-04-01,52.26682
1984-07-01,52.69997
1984-10-01,53.10424
1985-01-01,53.71066
1985-04-01,54.34594
1985-07-01,54.86572
1985-10-01,55.29887
1986-01-01,56.02079
1986-04-01,56.48282
1986-07-01,57.14698
1986-10-01,57.72452
1987-01-01,58.27317
1987-04-01,59.11060
1987-07-01,59.74589
1987-10-01,60.15016
1988-01-01,60.66994
1988-04-01,61.44961
1988-07-01,62.11377
1988-10-01,62.60468
1989-01-01,63.38435
1989-04-01,64.48166
1989-07-01,65.40572
1989-10-01,65.86774
1990-01-01,66.82068
1990-04-01,67.45596
1990-07-01,68.12013
1990-10-01,69.13081
1991-01-01,71.12330
1991-04-01,71.64308
1991-07-01,72.07623
1991-10-01,71.96073
1992-01-01,72.24949
1992-04-01,72.62489
1992-07-01,72.94254
1992-10-01,73.26018
1993-01-01,73.77996
1993-04-01,73.92434
1993-07-01,74.21311
1993-10-01,74.58851
1994-01-01,74.18423
1994-04-01,73.92434
1994-07-01,74.32862
1994-10-01,74.55963
1995-01-01,75.31042
1995-04-01,75.91684
1995-07-01,76.06122
1995-10-01,76.09010
1996-01-01,76.40774
1996-04-01,77.01415
1996-07-01,77.12966
1996-10-01,77.59168
1997-01-01,78.02483
1997-04-01,78.25585
1997-07-01,78.45798
1997-10-01,78.40023
1998-01-01,78.83338
1998-04-01,79.03552
1998-07-01,79.12215
1998-10-01,79.26653
1999-01-01,79.43979
1999-04-01,80.30609
1999-07-01,80.85475
1999-10-01,81.14352
2000-01-01,81.54779
2000-04-01,82.26971
2000-07-01,83.04938
2000-10-01,83.62691
2001-01-01,83.80017
2001-04-01,85.21513
2001-07-01,85.30176
2001-10-01,84.52209
2002-01-01,85.09962
2002-04-01,86.37020
2002-07-01,87.29425
2002-10-01,87.72740
2003-01-01,88.91135
2003-04-01,88.76697
2003-07-01,89.11349
2003-10-01,89.25787
2004-01-01,89.71990
2004-04-01,90.73058
2004-07-01,90.90384
2004-10-01,91.30811
2005-01-01,91.62576
2005-04-01,92.46318
2005-07-01,93.27173
2005-10-01,93.32948
2006-01-01,93.79151
2006-04-01,94.83107
2006-07-01,94.88882
2006-10-01,94.60006
2007-01-01,95.49524
2007-04-01,96.91019
2007-07-01,96.91019
2007-10-01,96.88132
2008-01-01,97.19896
2008-04-01,99.19145
2008-07-01,100.23101
2008-10-01,98.72943
2009-01-01,98.41178
2009-04-01,99.24921
2009-07-01,99.36471
2009-10-01,99.50910
2010-01-01,100.00000
2010-04-01,100.63529
2010-07-01,101.18394
2010-10-01,101.76148
2011-01-01,102.59890
2011-04-01,104.01386
2011-07-01,104.21600
2011-10-01,104.50476
2012-01-01,104.99567
2012-04-01,105.65983
2012-07-01,105.48657
2012-10-01,105.48657
2013-01-01,105.94860
2013-04-01,106.46838
2013-07-01,106.69939
2013-10-01,106.46838
2014-01-01,107.42131
2014-04-01,108.83627
2014-07-01,108.92290
2014-10-01,108.51863
