DATE,CPALTT01USQ661S_NBD20090101
1955-01-01,12.61589
1955-04-01,12.59863
1955-07-01,12.60804
1955-10-01,12.64571
1956-01-01,12.64728
1956-04-01,12.73047
1956-07-01,12.86231
1956-10-01,12.97217
1957-01-01,13.07890
1957-04-01,13.19034
1957-07-01,13.30805
1957-10-01,13.37240
1958-01-01,13.53093
1958-04-01,13.62196
1958-07-01,13.61411
1958-10-01,13.62824
1959-01-01,13.65178
1959-04-01,13.67532
1959-07-01,13.74595
1959-10-01,13.82914
1960-01-01,13.84169
1960-04-01,13.92488
1960-07-01,13.93273
1960-10-01,14.02219
1961-01-01,14.05044
1961-04-01,14.04573
1961-07-01,14.10067
1961-10-01,14.12107
1962-01-01,14.17600
1962-04-01,14.22937
1962-07-01,14.27018
1962-10-01,14.30471
1963-01-01,14.35022
1963-04-01,14.37690
1963-07-01,14.46480
1963-10-01,14.50404
1964-01-01,14.56368
1964-04-01,14.58722
1964-07-01,14.62018
1964-10-01,14.68767
1965-01-01,14.73319
1965-04-01,14.82736
1965-07-01,14.87131
1965-10-01,14.94978
1966-01-01,15.08947
1966-04-01,15.22602
1966-07-01,15.35786
1966-10-01,15.48342
1967-01-01,15.52266
1967-04-01,15.61683
1967-07-01,15.77379
1967-10-01,15.94644
1968-01-01,16.10339
1968-04-01,16.26034
1968-07-01,16.48008
1968-10-01,16.68411
1969-01-01,16.88815
1969-04-01,17.15497
1969-07-01,17.39040
1969-10-01,17.65722
1970-01-01,17.93974
1970-04-01,18.19086
1970-07-01,18.37921
1970-10-01,18.64603
1971-01-01,18.80298
1971-04-01,18.97563
1971-07-01,19.16397
1971-10-01,19.30523
1972-01-01,19.46218
1972-04-01,19.58775
1972-07-01,19.74470
1972-10-01,19.94874
1973-01-01,20.26265
1973-04-01,20.68642
1973-07-01,21.09450
1973-10-01,21.62814
1974-01-01,22.27165
1974-04-01,22.86807
1974-07-01,23.51157
1974-10-01,24.23356
1975-01-01,24.75150
1975-04-01,25.04971
1975-07-01,25.55196
1975-10-01,26.02282
1976-01-01,26.32104
1976-04-01,26.55646
1976-07-01,26.98024
1976-10-01,27.37262
1977-01-01,27.87487
1977-04-01,28.36143
1977-07-01,28.75381
1977-10-01,29.17758
1978-01-01,29.67983
1978-04-01,30.35473
1978-07-01,31.06102
1978-10-01,31.78300
1979-01-01,32.58346
1979-04-01,33.61935
1979-07-01,34.70233
1979-10-01,35.80100
1980-01-01,37.21358
1980-04-01,38.46921
1980-07-01,39.19119
1980-10-01,40.28986
1981-01-01,41.40423
1981-04-01,42.26747
1981-07-01,43.44462
1981-10-01,44.15091
1982-01-01,44.54329
1982-04-01,45.18680
1982-07-01,45.97156
1982-10-01,46.11282
1983-01-01,46.14421
1983-04-01,46.67785
1983-07-01,47.13302
1983-10-01,47.60388
1984-01-01,48.27877
1984-04-01,48.73394
1984-07-01,49.15771
1984-10-01,49.58148
1985-01-01,50.03665
1985-04-01,50.49181
1985-07-01,50.80572
1985-10-01,51.32366
1986-01-01,51.59048
1986-04-01,51.33936
1986-07-01,51.65327
1986-10-01,52.01426
1987-01-01,52.64207
1987-04-01,53.23849
1987-07-01,53.80352
1987-10-01,54.30577
1988-01-01,54.72955
1988-04-01,55.35736
1988-07-01,56.03226
1988-10-01,56.64437
1989-01-01,57.28788
1989-04-01,58.21391
1989-07-01,58.66907
1989-10-01,59.26549
1990-01-01,60.28569
1990-04-01,60.88211
1990-07-01,61.93369
1990-10-01,62.98528
1991-01-01,63.45614
1991-04-01,63.83283
1991-07-01,64.31938
1991-10-01,64.85302
1992-01-01,65.29249
1992-04-01,65.79474
1992-07-01,66.29699
1992-10-01,66.87772
1993-01-01,67.36427
1993-04-01,67.85083
1993-07-01,68.16473
1993-10-01,68.72976
1994-01-01,69.07506
1994-04-01,69.46744
1994-07-01,70.11095
1994-10-01,70.51903
1995-01-01,71.03697
1995-04-01,71.61770
1995-07-01,71.97869
1995-10-01,72.37107
1996-01-01,73.01458
1996-04-01,73.64239
1996-07-01,74.06617
1996-10-01,74.70968
1997-01-01,75.16484
1997-04-01,75.33749
1997-07-01,75.71418
1997-10-01,76.12225
1998-01-01,76.27921
1998-04-01,76.53033
1998-07-01,76.92271
1998-10-01,77.28371
1999-01-01,77.56622
1999-04-01,78.14695
1999-07-01,78.72768
1999-10-01,79.30840
2000-01-01,80.09317
2000-04-01,80.72098
2000-07-01,81.45866
2000-10-01,82.03939
2001-01-01,82.82415
2001-04-01,83.40488
2001-07-01,83.64031
2001-10-01,83.57753
2002-01-01,83.84435
2002-04-01,84.50355
2002-07-01,84.95871
2002-10-01,85.46096
2003-01-01,86.33990
2003-04-01,86.19864
2003-07-01,86.84215
2003-10-01,87.17175
2004-01-01,87.90943
2004-04-01,88.60003
2004-07-01,89.16506
2004-10-01,90.12247
2005-01-01,90.57763
2005-04-01,91.18975
2005-07-01,92.57094
2005-10-01,93.43418
2006-01-01,93.92074
2006-04-01,94.76828
2006-07-01,95.66291
2006-10-01,95.27053
2007-01-01,96.20456
2007-04-01,97.29413
2007-07-01,97.91001
2007-10-01,99.11102
2008-01-01,100.18458
2008-04-01,101.48792
2008-07-01,103.05274
2008-10-01,100.69263
2009-01-01,100.00000
2009-04-01,100.53176
2009-07-01,101.39673
2009-10-01,102.19059
2010-01-01,102.35257
2010-04-01,102.31647
2010-07-01,102.61641
2010-10-01,103.44732
2011-01-01,104.54583
2011-04-01,105.75029
2011-07-01,106.44198
2011-10-01,106.90280
2012-01-01,107.49875
2012-04-01,107.76133
2012-07-01,108.23470
2012-10-01,108.94240
2013-01-01,109.31658
2013-04-01,109.27781
2013-07-01,109.89322
2013-10-01,110.28121
2014-01-01,110.85189
2014-04-01,111.52114
2014-07-01,111.84965
2014-10-01,111.60998
2015-01-01,110.74658
